tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,mota,motp,idf1,hota
botsort,0.4,0.1,0.4,2,0.8,0.6,0.77,0.63,0.66
botsort,0.4,0.1,0.4,2,0.9,0.61,0.76,0.63,0.67
botsort,0.4,0.1,0.4,2,0.95,0.61,0.75,0.66,0.7
botsort,0.4,0.1,0.4,2,0.97,0.61,0.75,0.66,0.7
botsort,0.4,0.1,0.4,2,0.98,0.61,0.75,0.62,0.68
botsort,0.4,0.1,0.4,4,0.8,0.6,0.77,0.64,0.66
botsort,0.4,0.1,0.4,4,0.9,0.61,0.76,0.64,0.67
botsort,0.4,0.1,0.4,4,0.95,0.61,0.75,0.66,0.7
botsort,0.4,0.1,0.4,4,0.97,0.61,0.75,0.66,0.7
botsort,0.4,0.1,0.4,4,0.98,0.61,0.75,0.61,0.67
botsort,0.4,0.1,0.4,6,0.8,0.6,0.77,0.63,0.66
botsort,0.4,0.1,0.4,6,0.9,0.62,0.76,0.62,0.67
botsort,0.4,0.1,0.4,6,0.95,0.62,0.75,0.64,0.69
botsort,0.4,0.1,0.4,6,0.97,0.62,0.75,0.64,0.69
botsort,0.4,0.1,0.4,6,0.98,0.61,0.75,0.6,0.66
botsort,0.4,0.1,0.6,2,0.8,0.59,0.77,0.62,0.65
botsort,0.4,0.1,0.6,2,0.9,0.61,0.76,0.63,0.66
botsort,0.4,0.1,0.6,2,0.95,0.61,0.75,0.65,0.69
botsort,0.4,0.1,0.6,2,0.97,0.61,0.75,0.65,0.69
botsort,0.4,0.1,0.6,2,0.98,0.61,0.75,0.61,0.67
botsort,0.4,0.1,0.6,4,0.8,0.59,0.77,0.62,0.65
botsort,0.4,0.1,0.6,4,0.9,0.61,0.76,0.63,0.67
botsort,0.4,0.1,0.6,4,0.95,0.61,0.75,0.65,0.69
botsort,0.4,0.1,0.6,4,0.97,0.61,0.75,0.65,0.69
botsort,0.4,0.1,0.6,4,0.98,0.61,0.75,0.61,0.66
botsort,0.4,0.1,0.6,6,0.8,0.59,0.77,0.62,0.65
botsort,0.4,0.1,0.6,6,0.9,0.62,0.76,0.62,0.66
botsort,0.4,0.1,0.6,6,0.95,0.62,0.75,0.64,0.68
botsort,0.4,0.1,0.6,6,0.97,0.61,0.75,0.64,0.68
botsort,0.4,0.1,0.6,6,0.98,0.61,0.75,0.59,0.66
botsort,0.4,0.1,0.8,2,0.8,0.58,0.77,0.62,0.63
botsort,0.4,0.1,0.8,2,0.9,0.6,0.76,0.62,0.65
botsort,0.4,0.1,0.8,2,0.95,0.6,0.75,0.65,0.68
botsort,0.4,0.1,0.8,2,0.97,0.6,0.75,0.65,0.68
botsort,0.4,0.1,0.8,2,0.98,0.6,0.75,0.61,0.65
botsort,0.4,0.1,0.8,4,0.8,0.59,0.77,0.62,0.64
botsort,0.4,0.1,0.8,4,0.9,0.6,0.76,0.63,0.65
botsort,0.4,0.1,0.8,4,0.95,0.6,0.75,0.65,0.68
botsort,0.4,0.1,0.8,4,0.97,0.6,0.75,0.65,0.68
botsort,0.4,0.1,0.8,4,0.98,0.6,0.75,0.6,0.65
botsort,0.4,0.1,0.8,6,0.8,0.58,0.77,0.62,0.64
botsort,0.4,0.1,0.8,6,0.9,0.61,0.76,0.61,0.64
botsort,0.4,0.1,0.8,6,0.95,0.61,0.75,0.63,0.67
botsort,0.4,0.1,0.8,6,0.97,0.61,0.75,0.63,0.67
botsort,0.4,0.1,0.8,6,0.98,0.6,0.75,0.59,0.64
botsort,0.4,0.2,0.4,2,0.8,0.6,0.77,0.63,0.66
botsort,0.4,0.2,0.4,2,0.9,0.61,0.76,0.63,0.67
botsort,0.4,0.2,0.4,2,0.95,0.61,0.75,0.66,0.7
botsort,0.4,0.2,0.4,2,0.97,0.61,0.75,0.66,0.7
botsort,0.4,0.2,0.4,2,0.98,0.61,0.75,0.62,0.68
botsort,0.4,0.2,0.4,4,0.8,0.6,0.77,0.64,0.66
botsort,0.4,0.2,0.4,4,0.9,0.61,0.76,0.64,0.67
botsort,0.4,0.2,0.4,4,0.95,0.61,0.75,0.66,0.7
botsort,0.4,0.2,0.4,4,0.97,0.61,0.75,0.66,0.7
botsort,0.4,0.2,0.4,4,0.98,0.61,0.75,0.61,0.67
botsort,0.4,0.2,0.4,6,0.8,0.6,0.77,0.63,0.66
botsort,0.4,0.2,0.4,6,0.9,0.62,0.76,0.62,0.67
botsort,0.4,0.2,0.4,6,0.95,0.62,0.75,0.64,0.69
botsort,0.4,0.2,0.4,6,0.97,0.62,0.75,0.64,0.69
botsort,0.4,0.2,0.4,6,0.98,0.61,0.75,0.6,0.66
botsort,0.4,0.2,0.6,2,0.8,0.59,0.77,0.62,0.65
botsort,0.4,0.2,0.6,2,0.9,0.61,0.76,0.63,0.66
botsort,0.4,0.2,0.6,2,0.95,0.61,0.75,0.65,0.69
botsort,0.4,0.2,0.6,2,0.97,0.61,0.75,0.65,0.69
botsort,0.4,0.2,0.6,2,0.98,0.61,0.75,0.61,0.67
botsort,0.4,0.2,0.6,4,0.8,0.59,0.77,0.62,0.65
botsort,0.4,0.2,0.6,4,0.9,0.61,0.76,0.63,0.67
